"strain","strain_norm","evcent_norm","pr_norm","closeness_norm","betweenness_norm","outd_norm","alld_norm"
"F105",0.00367992036384863,0.00225228566774487,1.38777878078145e-17,0.0180108139730638,0.0662725005085162,0.0643218846406191,0.0314266576675258,0.0485104695561347
"F113",0.00138400475326534,0.000847076502114902,1.38777878078145e-17,0.0089568652396093,0.0666006782321642,0.0222828896975041,0.0251413261340206,0.0210915085026672
"F119",0.00205734976797319,0.00125919556343281,2.16840434497101e-18,0.00607903198194041,0.0749054350859925,0,0.100565304536083,0.0337464136042676
"F160",0.023825701826384,0.0145824587060914,2.16840434497101e-18,0.00607903198194041,0.0744844687886875,0,0.100565304536083,0.0337464136042676
"F176",0.00206148012596576,0.00126172353827724,5.20417042793042e-18,0.00737963517118805,0.0683206096654157,0.0239266771835424,0.037711989201031,0.023200659352934
"F207",0.00278053457144405,0.00170181893756605,2.16840434497101e-18,0.00607903198194041,0.0708892403658239,0,0.0691386468685568,0.023200659352934
"F57",0.00343585931296221,0.00210290873764431,2.16840434497101e-18,0.00607903198194041,0.0679753069450851,0,0.0502826522680413,0.0168732068021338
"F58",0.00343585931296221,0.00210290873764431,2.16840434497101e-18,0.00607903198194041,0.0679753069450851,0,0.0502826522680413,0.0168732068021338
"F63",0.00183842321664934,0.00112520213828167,6.07153216591882e-18,0.0067381627292569,0.0669403276479513,0.00720799241971217,0.0314266576675258,0.0147640559518671
"F82",0.0108245247151539,0.00662512214003281,2.16840434497101e-18,0.00607903198194041,0.071657652120662,0,0.0691386468685568,0.023200659352934
"F86",0.00152201028864202,0.000931542430359417,2.16840434497101e-18,0.00607903198194041,0.0697768402026513,0,0.0942799730025774,0.0316372627540009
"F97",0.00155275204303094,0.000950357841011153,2.16840434497101e-18,0.00607903198194041,0.0697768402026513,0,0.0879946414690723,0.0295281119037342
"F106",0.031783982265865,0.0194533035074695,2.35922392732846e-16,0.0277245246199936,0.0662725005085162,0.107183049758733,0.0314266576675258,0.0970209391122694
"F118",0.00209225678620867,0.00128056031296594,2.16840434497101e-18,0.00607903198194041,0.0709002857445035,0,0.106850636069588,0.0358555644545343
"F124",0.00119029488211822,0.000728516880343886,5.20417042793042e-18,0.00717022529435455,0.0697750569513492,0.0276306376088967,0.0879946414690723,0.0337464136042676
"F148",0.00114743826879887,0.000702286601858645,2.16840434497101e-18,0.00607903198194041,0.0694114049791361,0,0.0879946414690723,0.0295281119037342
"F156",0.0218407641754449,0.0133675827901622,2.16840434497101e-18,0.00607903198194041,0.0740661983465179,0,0.0942799730025774,0.0316372627540009
"F157",0.00460205067966408,0.00281667312419843,2.16840434497101e-18,0.00607903198194041,0.0740762461255485,0,0.125706630670103,0.0421830170053345
"F158",0.0218407641754449,0.0133675827901621,2.16840434497101e-18,0.00607903198194041,0.0740661983465179,0,0.0942799730025774,0.0316372627540009
"F159",0.00845472704533274,0.00517469365260459,2.16840434497101e-18,0.00607903198194041,0.0740722266868157,0,0.113135967603093,0.0379647153048011
"F161",0.00527392716798414,0.0032278933777681,8.67361737988404e-19,0.00628433878574809,0.0744946303806096,0.012694423751354,0.131991962203608,0.046401318705868
"F162",0.0244684445770794,0.014975847731479,2.16840434497101e-18,0.00607903198194041,0.0744844687886875,0,0.100565304536083,0.0337464136042676
"F163",0.00440069126729475,0.0026934316206593,2.16840434497101e-18,0.00607903198194041,0.0744966630317155,0,0.138277293737114,0.046401318705868
"F164",0.0304639279956676,0.0186453677318427,2.16840434497101e-18,0.00607903198194041,0.0744824368029611,0,0.0942799730025774,0.0316372627540009
"F165",0.0304639279956676,0.0186453677318427,2.16840434497101e-18,0.00607903198194041,0.0744824368029611,0,0.0942799730025774,0.0316372627540009
"F173",0.000950673253199923,0.000581857086888485,2.16840434497101e-18,0.00607903198194041,0.0666006782321642,0,0.0251413261340206,0.0084366034010669
"F174",0.00075183374606629,0.000460157884781252,2.16840434497101e-18,0.00607903198194041,0.0690410469958109,0,0.0691386468685568,0.023200659352934
"F175",0.000118587635217415,7.25812530607596e-05,2.16840434497101e-18,0.00607903198194041,0.0693884718898351,0,0.0188559946005155,0.00632745255080018
"F177",0.00200614934453402,0.00122785847771014,1.73472347597681e-18,0.00838873352477684,0.0694008185930183,0.0528586110778893,0.0628533153350516,0.0253098102032007
"F178",0.0023747360567596,0.00145345101428305,1.73472347597681e-18,0.00722409971375798,0.0666071774444826,0.00884552244363488,0.037711989201031,0.0210915085026672
"F179",0.00223730872687886,0.00136933897520535,4.16333634234434e-17,0.0142915773634698,0.0694114049791361,0.185639115136268,0.0879946414690723,0.0674928272085352
"F180",0.00536665695859511,0.00328464840443059,1.04083408558608e-16,0.0143410797151731,0.0694131696908281,0.169614350100236,0.0942799730025774,0.0717111289090687
"F185",0.00190359788744243,0.00116509212567633,1.73472347597681e-18,0.00814126550233008,0.0690410469958109,0.00891273983326315,0.0628533153350516,0.0295281119037342
"F186",0.00190359788744243,0.00116509212567633,1.21430643318376e-17,0.00814126550233009,0.0690410469958109,0.00891273983326315,0.0628533153350516,0.0295281119037342
"F187",0.00240145542862699,0.00146980453619598,1.73472347597681e-18,0.00814126550233009,0.069404347029573,0.0137180681130713,0.0691386468685568,0.0316372627540009
"F188",0.0023721803939625,0.00145188682752888,3.46944695195361e-18,0.00814126550233009,0.0690427929255852,0.0185233963928794,0.0691386468685568,0.0316372627540009
"F193",0.0016280286206393,0.000996430674143573,2.16840434497101e-18,0.00607903198194041,0.0701443414805987,0,0.0817093099355671,0.0274189610534674
"F51",0.0104791182995887,0.0064137170436163,2.16840434497101e-18,0.00607903198194041,0.0823921357832435,0,0.20741594060567,0.0696019780588019
"F75",0.00935140996453491,0.00572350609628435,1.30104260698261e-18,0.00639982386288991,0.0712704449057466,0.0114126546645443,0.0628533153350516,0.023200659352934
"F77",0.00287560402698198,0.00176000595004924,6.93889390390723e-18,0.00814126550233009,0.0720624014424299,0.0794129036907784,0.119421299136598,0.0485104695561347
"F78",0.00245472203812403,0.00150240622571029,2.16840434497101e-18,0.00607903198194041,0.0716708196421836,0,0.113135967603093,0.0379647153048011
"F8",0.00962102579322246,0.00588852376153486,2.16840434497101e-18,0.00607903198194041,0.077556691289076,0,0.157133288337629,0.0527287712566681
"F80",0.0093477855373404,0.00572128777506627,2.16840434497101e-18,0.00607903198194041,0.0712704449057466,0,0.0628533153350516,0.0210915085026672
"F81",0.0093477855373404,0.00572128777506627,2.16840434497101e-18,0.00607903198194041,0.0712704449057466,0,0.0628533153350516,0.0210915085026672
"F83",0.0122692993175143,0.00750939266990237,2.16840434497101e-18,0.00607903198194041,0.071657652120662,0,0.0691386468685568,0.023200659352934
"F9",0.00872825448985267,0.0053421054121305,2.16840434497101e-18,0.00607903198194041,0.0749259914775197,0,0.157133288337629,0.0527287712566681
"F94",0.00140442824328276,0.00085957664595048,2.16840434497101e-18,0.00607903198194041,0.0669403276479513,0,0.0314266576675258,0.0105457542513336
"F107",0.012263083783329,0.00750558846840376,1.38777878078145e-17,0.0120346661578258,0.0662725005085162,0.0119634119869367,0.0314266576675258,0.0485104695561347
"F49",0.00303614012121677,0.00185826164812163,2.16840434497101e-18,0.00607903198194041,0.0724582856541757,0,0.125706630670103,0.0421830170053345
"F50",0.00317830283130861,0.00194527196431574,2.16840434497101e-18,0.00607903198194041,0.0724582856541757,0,0.125706630670103,0.0421830170053345
"F52",0.00239641217765824,0.00146671782758474,2.16840434497101e-18,0.00607903198194041,0.0709021269755977,0,0.113135967603093,0.0379647153048011
"F108",0.00214759933932147,0.00131443257835975,2.60208521396521e-18,0.00623456743937047,0.070131728832503,0.00495564157888325,0.037711989201031,0.0147640559518671
"F109",0.03119085771464,0.0190902831717482,2.35922392732846e-16,0.023329934166348,0.0662725005085162,0.0762380877854185,0.0314266576675258,0.0949117882620026
"F128",0.000742002213536149,0.000454140520920029,2.16840434497101e-18,0.00607903198194041,0.0690410469958109,0,0.0691386468685568,0.023200659352934
"F129",0.000742002213536149,0.000454140520920029,2.16840434497101e-18,0.00607903198194041,0.0690410469958109,0,0.0691386468685568,0.023200659352934
"F13",0.00101883130588746,0.000623573045396072,2.16840434497101e-18,0.00607903198194041,0.0712685844957932,0,0.0754239784020619,0.0253098102032007
"F130",0.000943833247225557,0.00057767067905893,1.73472347597681e-18,0.00629289323590674,0.0666006782321642,0,0.0251413261340206,0.0105457542513336
"F142",0.00143397121206362,0.000877658342995184,2.16840434497101e-18,0.00607903198194041,0.070126324800281,0,0.0314266576675258,0.0105457542513336
"F88",0.00124257107412834,0.000760512387416637,2.16840434497101e-18,0.00607903198194041,0.0694096403571715,0,0.0879946414690723,0.0295281119037342
"F90",0.00124339682443002,0.000761017785736631,7.80625564189563e-18,0.00685748042124427,0.0694096403571715,0.0104472985369042,0.0879946414690723,0.0358555644545343
"F95",0.00100707727043468,0.000616379018631654,2.16840434497101e-18,0.00607903198194041,0.0694096403571715,0,0.0817093099355671,0.0274189610534674
"F203",0.000972688554328545,0.000595331494565945,2.60208521396521e-18,0.0065689686728451,0.069404347029573,0.00648962011121561,0.0691386468685568,0.0274189610534674
"F110",0.00118885882455293,0.000727637945053837,6.93889390390723e-17,0.0117492401201821,0.0686884422725506,0.288162929235208,0.0754239784020619,0.0485104695561347
"F204",0.0195990706341789,0.0119955601007393,4.85722573273506e-17,0.018310821670714,0.0693972905152087,0.487716250821456,0.0439973207345361,0.0653836763582685
"F205",0.00103302843607025,0.000632262361922576,2.16840434497101e-18,0.00607903198194041,0.0694078758249273,0,0.0817093099355671,0.0274189610534674
"F53",0.00331830181274222,0.0020309579760239,2.16840434497101e-18,0.00607903198194041,0.0724429049949411,0,0.0879946414690723,0.0295281119037342
"F111",0.00181910922233267,0.00111338105839807,0,0.0103791429928604,0.0662725005085162,0.0255362837112929,0.0314266576675258,0.0295281119037342
"F56",0.00130728005156813,0.000800117348408135,2.16840434497101e-18,0.00607903198194041,0.0666006782321642,0,0.0251413261340206,0.0084366034010669
"F112",0.00261124518935247,0.00159820581247454,0,0.00623456743937047,0.0708542860262461,0.00255297743897919,0.0439973207345361,0.0168732068021338
"F100",0.0013349568795476,0.000817056878839061,2.16840434497101e-18,0.00607903198194041,0.0697679248575203,0,0.0754239784020619,0.0253098102032007
"F96",0.00130805796245659,0.000800593466739956,2.16840434497101e-18,0.00607903198194041,0.0697750569513492,0,0.0817093099355671,0.0274189610534674
