prey_code,pred_code,weight
F76,F190,9.79747E-05
F77,F190,9.84567E-05
F78,F190,9.84095E-05
F79,F190,9.53E-04
F8,F190,0.000439422
F80,F190,9.77534E-05
F81,F190,9.83531E-05
F82,F190,9.76E-05
F83,F190,9.73E-05
F9,F190,0.00043989
F1,F191,0.000450962
F10,F191,0.000471288
F104,F191,0.000477465
F115,F191,0.000100274
F116,F191,0.000100274
F117,F191,0.000100274
F118,F191,0.000100274
F119,F191,1.00E-04
F145,F191,0.000470383
F147,F191,0.000481315
F148,F191,0.000476705
F150,F191,0.000590657
F151,F191,0.000118478
F152,F191,0.000591616
F153,F191,0.000120329
F156,F191,5.01552E-05
F157,F191,0.000531452
F158,F191,5.02E-05
F159,F191,4.94308E-05
F160,F191,5.21E-04
F161,F191,0.000050137
F162,F191,5.01E-05
F163,F191,5.00E-05
F164,F191,5.01E-05
F165,F191,5.00E-05
F178,F191,2.94619E-05
F179,F191,3.00822E-05
F180,F191,2.91674E-05
F181,F191,3.00822E-05
F182,F191,3.00E-05
F183,F191,3.01E-05
F184,F191,3.00E-05
F185,F191,3.00822E-05
F186,F191,3.00822E-05
F187,F191,3.00822E-05
F188,F191,2.82462E-05
F189,F191,3.01E-05
F190,F191,3.01E-05
F191,F191,3.03861E-05
F192,F191,3.00822E-05
F193,F191,3.00822E-05
F204,F191,0.000478982
F26,F191,4.81E-04
F79,F191,4.71E-04
F8,F191,0.000240401
F86,F191,0.000168778
F87,F191,0.00015019
F88,F191,0.000154969
F89,F191,1.72E-04
F9,F191,0.000240658
F90,F191,0.000168393
F91,F191,7.10803E-05
F1,F199,0.000446239
F112,F199,4.76E-04
F123,F199,0.000476274
F14,F199,0.000116822
F15,F199,0.000116822
F156,F199,4.49478E-05
F157,F199,4.49315E-05
F158,F199,4.50E-05
F159,F199,4.42987E-05
F16,F199,0.000116434
F160,F199,4.49E-05
F161,F199,4.49315E-05
F162,F199,4.49E-05
F163,F199,4.48E-05
F164,F199,4.49E-05
F165,F199,4.48E-05
F17,F199,0.000116485
F200,F199,0.000476274
F203,F199,0.000161753
F204,F199,0.000160969
F205,F199,0.00016326
F206,F199,0.000476094
F24,F199,0.000217028
F25,F199,0.000213907
F26,F199,2.16E-04
F27,F199,0.000530192
F28,F199,5.39E-05
F29,F199,5.39178E-05
F30,F199,5.39178E-05
F31,F199,5.38714E-05
F49,F199,5.93E-04
F50,F199,1.17E-04
F51,F199,0.000593096
F52,F199,1.17E-04
F57,F199,2.42E-04
F58,F199,0.000240632
F75,F199,5.39178E-05
F76,F199,5.40E-05
F77,F199,5.43057E-05
F78,F199,5.42797E-05
F79,F199,5.39E-05
F80,F199,5.39178E-05
F81,F199,5.42486E-05
F82,F199,5.38E-05
F83,F199,5.37E-05
F9,F199,0.00024263
F8,F200,0.001988016
F114,F201,2.59E-04
F126,F201,0.000259096
F14,F201,0.000259726
F15,F201,0.000259726
F16,F201,0.000258863
F17,F201,0.000258978
F170,F201,0.000257416
F171,F201,0.000258381
F172,F201,0.000258531
F199,F201,2.60E-04
F200,F201,0.000259726
F202,F201,0.000259502
F208,F201,0.00025758
F24,F201,0.00026136
F25,F201,0.000257601
F26,F201,2.60E-04
F27,F201,0.000259726
F28,F201,0.000259726
F29,F201,0.000259726
F30,F201,0.000259726
F31,F201,0.000259502
F32,F201,0.000260139
F33,F201,0.000259458
F34,F201,0.000260002
F35,F201,0.000260002
F36,F201,0.00025688
