Unique_link_identifier,Tip_label,Taxonomy,Metabolic_category,Feeding_type_-_consumer,Environment,Feeding_Mode,Trophic_Level,d15N,Mean_mass_(g),Mobility,Trophic_Uniqueness,Trophic_Flexibility,
328,,Rossella_racovitzae,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,4.53,45,1,0,0.0356,Error
329,,Stylocordyla_borealis,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,3.9,45,1,0,0.0356,Error
330,,Homaxinella_balfourensis,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,2.3,1,0,0.0356,Error
331,,Scolymastra_joubini,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,720,1,0,0.0356,Error
332,,Latrunculia_apicalis,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,1,1,0,0.0356,Error
333,,Latrunculia_brevis,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,1,1,0,0.0356,Error
334,,Tetilla_leptoderma,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,30,1,0,0.0356,Error
335,,Haliclona_dancoi,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,5.6,1,0,0.0356,Error
336,,Mycale_acerata,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,12,1,0,0.0356,Error
337,,Rossella_antarctica,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,4.66,12,1,0,0.0356,Error
338,,Rossella_tarenja,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,5.71,12,1,0,0.0356,Error
339,,Haliclona_tenella,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,5.6,1,0,0.0356,Error
340,,Clathria_pauper,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,2.3,1,0,0.0356,Error
341,,Calyx_arcuarius,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,2.3,1,0,0.0356,Error
342,,Isodyctia_toxophila,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,5.6,1,0,0.0356,Error
343,,Isodyctia_cavicornuta,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,5.6,1,0,0.0356,Error
344,,Isodyctia_steifera,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,5.6,1,0,0.0356,Error
345,,Axociella_nidificata,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,6.5,1,0,0.0356,Error
346,,Rossella_nuda,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,7.61,300,1,0,0.0356,Error
347,,Tentorium_papillatum,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,5.6,1,0,0.0356,Error
348,,Tentorium_semisuberites,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,5.6,1,0,0.0356,Error
349,,Tedania_oxeata,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,5.6,1,0,0.0356,Error
350,,Tedania_tantulata,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,5.6,1,0,0.0356,Error
351,,Tedania_vanhoeffeni,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,5.6,1,0,0.0356,Error
352,,Phorbas_areolatus,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,1.2,1,0,0.0356,Error
353,,Phorbas_glaberrima,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,1.2,1,0,0.0356,Error
354,,Polymastia_invaginata,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,0.92,1,0,0.0356,Error
355,,Polymastia_isidis,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,0.92,1,0,0.0356,Error
356,,Anoxycalyx_joubini,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.29,720,1,0,0.0356,Error
357,,Beroe_cucumis,Invertebrate,carnivorous,pelagic,predator,4.19,5.49,0.085,4,0.103,0.294,Error
358,,Lyrocteis_flavopallidus,Invertebrate,carnivorous,pelagic,predator,3.66,5.49,0.19,4,0.117,0.5532,Error
359,,Callianira_antarctica,Invertebrate,carnivorous,pelagic,predator,3.78,5.49,5.6,4,0.086,0.2457,Error
360,,Baseodiscus_antarcticus,Invertebrate,carnivorous/necrovorous,benthic,predator/scavenger,3.52,12.55,5800,2,0.176,0.4939,Error
361,,Lineus_longifissus,Invertebrate,carnivorous/necrovorous,benthic,predator/scavenger,3.52,11.4,5800,2,0.176,0.4939,Error
362,,Parborlasia_corrugatus,Invertebrate,carnivorous/necrovorous,benthic,predator/scavenger,3.52,8.63,5800,2,0.176,0.4939,Error
363,,Phascolion_strombi,Invertebrate,detrivorous,benthic,deposit-feeder,2,6.7,6.3E-07,2,0.008,0.0568,Error
364,,Golfingia_nordenskojoeldi,Invertebrate,detrivorous,benthic,deposit-feeder,2,7.05,6.3E-07,2,0.008,0.0568,Error
365,,Golfingia_mawsoni,Invertebrate,detrivorous,benthic,deposit-feeder,2,7.05,4.1E-05,2,0.008,0.0568,Error
366,,Golfingia_ohlini,Invertebrate,detrivorous,benthic,deposit-feeder,2,7.05,2.8E-05,2,0.008,0.0568,Error
367,,Golfingia_anderssoni,Invertebrate,detrivorous,benthic,deposit-feeder,2,7.05,0.0022,2,0.008,0.0568,Error
368,,Golfingia_margaritacea_margaritacea,Invertebrate,detrivorous,benthic,deposit-feeder,2,7.05,0.92,2,0.008,0.0568,Error
369,,Alomasoma_belyaevi,Invertebrate,detrivorous,benthic,deposit-feeder,2,8.18,0.57,2,0.008,0.0568,Error
370,,Echiurus_antarcticus,Invertebrate,detrivorous,benthic,deposit-feeder,2,6.99,0.00088,2,0.008,0.0568,Error
371,,Hamingia,Invertebrate,detrivorous,benthic,deposit-feeder,2,8.33,0.018,2,0.008,0.0568,Error
372,,Maxmuelleria_faex,Invertebrate,detrivorous,benthic,deposit-feeder,2,8.2,0.01,2,0.008,0.0568,Error
373,,Flustra_angusta,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,4.76,0.69,1,0,0.0356,Error
374,,Camptoplites_tricornis,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,4.8,0.69,1,0,0.0356,Error
375,,Nematoflustra_flagellata,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,4.76,5.6,1,0,0.0356,Error
376,,Austroflustra_vulgaris,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,4.76,0.15,1,0,0.0356,Error
377,,Melicerita_obliqua,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,4.63,0.69,1,0,0.0356,Error
378,,Systenopora_contracta,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,4.76,30,1,0,0.0356,Error
379,,Flustra_antarctica,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,3.13,5.6,1,0,0.0356,Error
380,,Fasciculiporoides_ramosa,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,4.76,1.2,1,0,0.0356,Error
381,,Reteporella_hippocrepis,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,4.76,2.3,1,0,0.0356,Error
382,,Lageneschara_lyrulata,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,4.76,0.085,1,0,0.0356,Error
383,,Isoschizoporella_tricuspis,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,4.7,0.69,1,0,0.0356,Error
384,,Caulastraea_curvata,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,4.76,0.69,1,0,0.0356,Error
385,,Chondriovelum_adeliense,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,4.76,0.69,1,0,0.0356,Error
386,,Bostrychopora_dentata,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,4.76,0.085,1,0,0.0356,Error
387,,Liothyrella_uva,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.23,0.085,1,0.008,0.0568,Error
388,,Magellania_joubini,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.7,0.0022,1,0.008,0.0568,Error
389,,Magellania_fragilis,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.7,0.082,1,0.008,0.0568,Error
390,,Crania_lecointei,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.7,0.00014,1,0.008,0.0568,Error
391,,Compsothyris_racovitzae,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.7,0.0022,1,0.008,0.0568,Error
392,,Liothyrella_uva_antarctica,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.52,0.085,1,0.008,0.0568,Error
393,,Eukrohnia_hamata,Invertebrate,omnivorous,pelagic,predator,3.1,5.33,0.0052,4,0.13,0.0549,Error
394,,Pseudosagitta_gazellae,Invertebrate,omnivorous,pelagic,predator,3.14,5.01,0.15,4,0.144,0.2187,Error
395,,Sagitta_marri,Invertebrate,omnivorous,pelagic,predator,3.11,5.16,0.0013,4,0.094,0.2717,Error
396,,Pseudosagitta_maxima,Invertebrate,omnivorous,pelagic,predator,3.11,5.76,0.35,4,0.094,0.2717,Error
397,,Cephalodiscus,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.6,0.2,1,0.008,0.0568,Error
398,,Molgula_pedunculata,Invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2,6.19,11,1,0,0.0356,Error
