"strain","strain_norm","evcent_norm","pr_norm","closeness_norm","betweenness_norm","outd_norm","alld_norm"
"F105",0.0140210296087828,0.00407051941947874,2.77555756156289e-17,0.0180108139730638,0.0662725005085162,0.0643218846406191,0.0314266576675258,0.0485104695561347
"F113",0.00295239467770555,0.000857125347059976,0,0.0089568652396093,0.0666006782321642,0.0222828896975041,0.0251413261340206,0.0210915085026672
"F119",0.010225554922436,0.00296863504664803,0,0.0060790319819404,0.0749054350859925,0,0.100565304536083,0.0337464136042676
"F160",0.0356398847742844,0.0103468038460482,0,0.0060790319819404,0.0744844687886875,0,0.100565304536083,0.0337464136042676
"F176",0.00436139213461334,0.00126617886669214,0,0.00737963517118805,0.0683206096654157,0.0239266771835424,0.037711989201031,0.023200659352934
"F207",0.00312445102259332,0.000907075936471147,0,0.0060790319819404,0.0708892403658239,0,0.0691386468685568,0.023200659352934
"F57",0.00350264127000775,0.00101687035166827,0,0.0060790319819404,0.0679753069450851,0,0.0502826522680413,0.0168732068021338
"F58",0.00350264127000775,0.00101687035166827,0,0.0060790319819404,0.0679753069450851,0,0.0502826522680413,0.0168732068021338
"F63",0.00331921266934582,0.00096361822240849,3.46944695195361e-18,0.0067381627292569,0.0669403276479513,0.00720799241971217,0.0314266576675258,0.0147640559518671
"F82",0.0414357199855423,0.0120294234851043,0,0.0060790319819404,0.071657652120662,0,0.0691386468685568,0.023200659352934
"F86",0.00842098368990078,0.00244474040760768,0,0.0060790319819404,0.0697768402026513,0,0.0942799730025774,0.0316372627540009
"F97",0.00341775038894929,0.000992225230052623,0,0.0060790319819404,0.0697768402026513,0,0.0879946414690723,0.0295281119037342
"F106",0.387874164675434,0.112605804543517,8.32667268468867e-17,0.0277245246199936,0.0662725005085162,0.107183049758733,0.0314266576675258,0.0970209391122694
"F118",0.0159688148443691,0.00463599127480253,0,0.0060790319819404,0.0709002857445035,0,0.106850636069588,0.0358555644545343
"F124",0.00486505171522799,0.00141239894901863,4.33680868994202e-18,0.00717022529435456,0.0697750569513492,0.0276306376088967,0.0879946414690723,0.0337464136042676
"F148",0.00311648435769698,0.000904763091760464,0,0.0060790319819404,0.0694114049791361,0,0.0879946414690723,0.0295281119037342
"F156",0.0301398707122953,0.00875006561273696,0,0.0060790319819404,0.0740661983465179,0,0.0942799730025774,0.0316372627540009
"F157",0.0259251427220457,0.00752646559113902,0,0.0060790319819404,0.0740762461255485,0,0.125706630670103,0.0421830170053345
"F158",0.030139870712296,0.00875006561273715,0,0.0060790319819404,0.0740661983465179,0,0.0942799730025774,0.0316372627540009
"F159",0.0315453137605647,0.00915808723315836,0,0.0060790319819404,0.0740722266868157,0,0.113135967603093,0.0379647153048011
