"Food_Web","Measure","Species","Distinctiveness"
"Serengeti_Baskerville","PE","pennisetum_mezianum",10
"Serengeti_Baskerville","PE","pennisetum_stramineum",10
"Serengeti_Baskerville","PE","Phacochoerus_africanus",65.6
"Serengeti_Baskerville","PE","phragmites_mauritianus",67.8125
"Serengeti_Baskerville","PE","phyllanthus_sepialis",71.333336
"Serengeti_Baskerville","PE","poaceae_to_others",4
"Serengeti_Baskerville","PE","Procavia_capensis",13.6
"Serengeti_Baskerville","PE","psilolemma_jaegeri",29.9375
"Serengeti_Baskerville","PE","pteridophyta_to_magnoliophyta",1
"Serengeti_Baskerville","PE","pupalia_lappacea",56.5
"Serengeti_Baskerville","PE","Redunca_redunca",19.2
"Serengeti_Baskerville","PE","Rhabdomys_pumilio",77.2
"Serengeti_Baskerville","PE","rhoicissus_revoilii",68
"Serengeti_Baskerville","PE","sansevieria",42
"Serengeti_Baskerville","PE","sansevieria_ehrenbergii",10
"Serengeti_Baskerville","PE","sansevieria_suffruticosa",10
"Serengeti_Baskerville","PE","sapindales",28
"Serengeti_Baskerville","PE","saxifragales_to_others",1
"Serengeti_Baskerville","PE","sclerocarya_birrea",64
"Serengeti_Baskerville","PE","senna_didymobotrya",63
"Serengeti_Baskerville","PE","setaria",8.75
"Serengeti_Baskerville","PE","setaria_pallidefusca",10
"Serengeti_Baskerville","PE","setaria_sphacelata",10
"Serengeti_Baskerville","PE","sida_spp.",14.833333
"Serengeti_Baskerville","PE","solanum",50
"Serengeti_Baskerville","PE","solanum_dennekense",12
"Serengeti_Baskerville","PE","solanum_incanum",12
"Serengeti_Baskerville","PE","solanum_nigrum",12
"Serengeti_Baskerville","PE","sorghum_to_others",12.825001
"Serengeti_Baskerville","PE","sorghum_versicolor",48.474998
"Serengeti_Baskerville","PE","sporobolus",18.9375
"Serengeti_Baskerville","PE","sporobolus_festivus",11
"Serengeti_Baskerville","PE","sporobolus_fimbriatus",11
"Serengeti_Baskerville","PE","sporobolus_ioclados",11
"Serengeti_Baskerville","PE","sporobolus_pellucidus",11
"Serengeti_Baskerville","PE","sporobolus_pyramidalis",11
"Serengeti_Baskerville","PE","sporobolus_spicatus",11
"Serengeti_Baskerville","PE","sporobolus_stapfianus",11
"Serengeti_Baskerville","PE","Syncerus_caffer",21.3
"Serengeti_Baskerville","PE","Taurotragus_oryx",17
"Serengeti_Baskerville","PE","themeda_to_heteropogon",8.9125
"Serengeti_Baskerville","PE","themeda_triandra",8.9125
"Serengeti_Baskerville","PE","Tragelaphus_scriptus",17
"Serengeti_Baskerville","PE","tricholaena_teneriffae",9.166667
"Serengeti_Baskerville","PE","turraea_fischeri",51
"Serengeti_Baskerville","PE","typha_capensis",106
"Serengeti_Baskerville","PE","vachellia",16.666666
"Serengeti_Baskerville","PE","vachellia_seyal",8
"Serengeti_Baskerville","PE","vachellia_tortilis",8
"Serengeti_Baskerville","PE","vachellia_xanthophloea",8
"Serengeti_Baskerville","PE","vitaceae_to_others",3
"Serengeti_Baskerville","PE","ximenia_caffra",113
"Serengeti_Baskerville","PE","ziziphus_spp.",76
"Serengeti_Baskerville","PE","zoysieae_to_cynodonteae",18.9375
"Serengeti_Baskerville","FP","abutilon_spp.",30.4266022307692
"Serengeti_Baskerville","FP","abutilon_to_sida",18.3266022307692
"Serengeti_Baskerville","FP","acacia",12.666666
"Serengeti_Baskerville","FP","acacia_robusta",12
"Serengeti_Baskerville","FP","acacia_senegal",12
"Serengeti_Baskerville","FP","acacia_to_vachellia",12.666666
"Serengeti_Baskerville","FP","acacieae_to_ingeae",12.666667
"Serengeti_Baskerville","FP","acalypha_fruticosa",41.666668
"Serengeti_Baskerville","FP","acalypha_to_croton_to_euphorbia",29.666668
"Serengeti_Baskerville","FP","acanthaceae_to_lamiaceae",14.2753418803419
"Serengeti_Baskerville","FP","acantheae_to_ruellieae",23.3531203247863
"Serengeti_Baskerville","FP","achyranthes_aspera",72.7777777777778
"Serengeti_Baskerville","FP","achyranthes_to_pupalia",71.8277777777778
"Serengeti_Baskerville","FP","Acinonyx_jubatus",17.3
"Serengeti_Baskerville","FP","Aepyceros_melampus",21.8
"Serengeti_Baskerville","FP","albizia_harveyi",37.333332
"Serengeti_Baskerville","FP","albuca_spp.",52
"Serengeti_Baskerville","FP","Alcelaphus_buselaphus",14.7
"Serengeti_Baskerville","FP","allophylus_rubifolius",262.325
"Serengeti_Baskerville","FP","aloe",52
"Serengeti_Baskerville","FP","aloe_macrosiphon",12
"Serengeti_Baskerville","FP","aloe_secundiflora",12
"Serengeti_Baskerville","FP","anacardiaceae_to_burseraceae",7
"Serengeti_Baskerville","FP","andropogon",12.825001
"Serengeti_Baskerville","FP","andropogon_greenwayi",10
"Serengeti_Baskerville","FP","andropogon_schirensis",10
"Serengeti_Baskerville","FP","andropogon_to_others",12.825001
"Serengeti_Baskerville","FP","andropogoneae_to_paniceae",12.625
"Serengeti_Baskerville","FP","aristida_spp.",99.375
"Serengeti_Baskerville","FP","aristidoideae_to_others",12.625
"Serengeti_Baskerville","FP","arundinoideae_to_chloridoideae",18.9375
"Serengeti_Baskerville","FP","asparagaceae_to_xanthorrhacae",58
"Serengeti_Baskerville","FP","asparagales_to_others",24
"Serengeti_Baskerville","FP","asterales_to_others",20.1527777777778
"Serengeti_Baskerville","FP","asterids",1
"Serengeti_Baskerville","FP","asterids_to_rosids",17
"Serengeti_Baskerville","FP","balanites_aegyptiacus",101
"Serengeti_Baskerville","FP","blepharis_acanthodioides",44.7614543247863
"Serengeti_Baskerville","FP","boraginaceae_to_solanales",4.46834887334887
"Serengeti_Baskerville","FP","boscia_augustifolia",14.333333
"Serengeti_Baskerville","FP","boscia_to_capparis",14.333333
"Serengeti_Baskerville","FP","bothriochloa_insculpta",17.825001
"Serengeti_Baskerville","FP","bothriochloa_to_others",8.9125
"Serengeti_Baskerville","FP","brachiaria_semiundulata",18.333334
"Serengeti_Baskerville","FP","brachiaria_to_cenchrus",8.75
"Serengeti_Baskerville","FP","brachiaria_to_others",9.166666
"Serengeti_Baskerville","FP","brassicaceae_to_capparaceae",61
"Serengeti_Baskerville","FP","brassicales_to_others",7
"Serengeti_Baskerville","FP","caesalpinoideae_to_others",36
"Serengeti_Baskerville","FP","Canis_aureus",1.5
"Serengeti_Baskerville","FP","Canis_mesomelas",1.5
"Serengeti_Baskerville","FP","capparideae_to_maerueae",14.333333
"Serengeti_Baskerville","FP","capparis_tomentosa",14.333333
"Serengeti_Baskerville","FP","Caracal_caracal",9.4
"Serengeti_Baskerville","FP","caryophyllales_to_santalales",15.1527777777778
"Serengeti_Baskerville","FP","cenchrus_ciliaris",18.75
"Serengeti_Baskerville","FP","cenchrus_to_others",8.75
"Serengeti_Baskerville","FP","chloris",6.979167
"Serengeti_Baskerville","FP","chloris_gayana",9
"Serengeti_Baskerville","FP","chloris_pycnothrix",9
"Serengeti_Baskerville","FP","chloris_roxburghiana",9
"Serengeti_Baskerville","FP","chloris_to_others",6.979167
"Serengeti_Baskerville","FP","cissus",57
"Serengeti_Baskerville","FP","cissus_quadrangularis",11
"Serengeti_Baskerville","FP","cissus_rotundifolia",11
"Serengeti_Baskerville","FP","cissus_to_cyphostemma_to_rhiocissus",57
"Serengeti_Baskerville","FP","combretum_molle",116
"Serengeti_Baskerville","FP","commelina_africana",116
"Serengeti_Baskerville","FP","commelinales_to_poales",6
"Serengeti_Baskerville","FP","commiphora",65.44
"Serengeti_Baskerville","FP","commiphora_merkeri",24.34
"Serengeti_Baskerville","FP","commiphora_schimperi",24.34
"Serengeti_Baskerville","FP","commiphora_trothae",24.34
"Serengeti_Baskerville","FP","Connochaetes_taurinus",14.7
"Serengeti_Baskerville","FP","convolvulaceae_to_solanaceae",26.1016822066822
"Serengeti_Baskerville","FP","cordia_ovalis",57.2516822066822
"Serengeti_Baskerville","FP","cordioideae_to_heliotropioideae",38.1016822066822
"Serengeti_Baskerville","FP","Crocuta_crocuta",39.9
"Serengeti_Baskerville","FP","crotalaria_spinosa",37.333332
"Serengeti_Baskerville","FP","crotalarieae_to_others",12.666667
"Serengeti_Baskerville","FP","croton",29.666668
"Serengeti_Baskerville","FP","croton_dichogamus",12
"Serengeti_Baskerville","FP","croton_macrostachyus",12
"Serengeti_Baskerville","FP","cucurbitales_to_rosales",2
"Serengeti_Baskerville","FP","cymbopogon_caesius",26.737501
